Version checked: updated 
Download setup initialized...
newcards.ydk downloaded from repository 
Download setup done. Downloading newcards.ydk...
14212201 downloaded [462/11672]
13903402 downloaded [427/11672]
14017402 downloaded [441/11672]
13965201 downloaded [434/11672]
14152862 downloaded [458/11672]
13857930 downloaded [424/11672]
1412158 downloaded [452/11672]
1409474 downloaded [450/11672]
14152693 downloaded [457/11672]
14393464 downloaded [482/11672]
1357146 downloaded [396/11672]
14169843 downloaded [460/11672]
14089428 downloaded [448/11672]
14365823 downloaded [479/11672]
14198496 downloaded [461/11672]
14094090 downloaded [449/11672]
14225239 downloaded [463/11672]
14258627 downloaded [466/11672]
14124483 downloaded [453/11672]
14057297 downloaded [445/11672]
14344682 downloaded [477/11672]
14306092 downloaded [471/11672]
14291024 downloaded [470/11672]
14146794 downloaded [455/11672]
14088859 downloaded [447/11672]
14141448 downloaded [454/11672]
1435851 downloaded [478/11672]
14315573 downloaded [473/11672]
14342283 downloaded [475/11672]
14055212 downloaded [444/11672]
14391920 downloaded [481/11672]
14261867 downloaded [467/11672]
14430063 downloaded [483/11672]
14532163 downloaded [499/11672]
14472500 downloaded [491/11672]
14255590 downloaded [465/11672]
14386013 downloaded [480/11672]
14470845 downloaded [490/11672]
14463695 downloaded [486/11672]
14513016 downloaded [497/11672]
13760677 downloaded [416/11672]
14309486 downloaded [472/11672]
14550855 downloaded [502/11672]
14289852 downloaded [469/11672]
1426714 downloaded [468/11672]
14318794 downloaded [474/11672]
14506878 downloaded [493/11672]
14517422 downloaded [498/11672]
14509651 downloaded [495/11672]
14553285 downloaded [503/11672]
14536035 downloaded [500/11672]
14235211 downloaded [464/11672]
14462257 downloaded [485/11672]
14464864 downloaded [487/11672]
14730606 downloaded [517/11672]
1474910 downloaded [522/11672]
14541657 downloaded [501/11672]
14625090 downloaded [511/11672]
14577226 downloaded [506/11672]
1475311 downloaded [523/11672]
14624296 downloaded [510/11672]
14507213 downloaded [494/11672]
14733538 downloaded [519/11672]
14505685 downloaded [492/11672]
13974207 downloaded [436/11672]
14469229 downloaded [489/11672]
14731897 downloaded [518/11672]
146746 downloaded [513/11672]
14466224 downloaded [488/11672]
14702066 downloaded [515/11672]
14839621 downloaded [537/11672]
14735698 downloaded [520/11672]
14799437 downloaded [531/11672]
14644902 downloaded [512/11672]
14604710 downloaded [507/11672]
14457896 downloaded [484/11672]
14745409 downloaded [521/11672]
14920218 downloaded [542/11672]
14568951 downloaded [505/11672]
14148099 downloaded [456/11672]
1482001 downloaded [535/11672]
14677495 downloaded [514/11672]
14763299 downloaded [526/11672]
14878871 downloaded [538/11672]
14934922 downloaded [543/11672]
14613029 downloaded [508/11672]
14785765 downloaded [530/11672]
14812659 downloaded [533/11672]
15150365 downloaded [562/11672]
14618326 downloaded [509/11672]
14882493 downloaded [539/11672]
15083304 downloaded [555/11672]
14812471 downloaded [532/11672]
14886469 downloaded [541/11672]
15155568 downloaded [563/11672]
14816688 downloaded [534/11672]
15028680 downloaded [551/11672]
14771222 downloaded [527/11672]
1434352 downloaded [476/11672]
1508649 downloaded [557/11672]
15090429 downloaded [558/11672]
14883228 downloaded [540/11672]
14970113 downloaded [546/11672]
14772491 downloaded [528/11672]
14558127 downloaded [504/11672]
15013468 downloaded [550/11672]
14759024 downloaded [525/11672]
1525329 downloaded [575/11672]
14778250 downloaded [529/11672]
15033525 downloaded [552/11672]
15052462 downloaded [553/11672]
15092394 downloaded [559/11672]
15237615 downloaded [571/11672]
15294090 downloaded [583/11672]
15146890 downloaded [561/11672]
14943837 downloaded [545/11672]
15291624 downloaded [582/11672]
15383415 downloaded [595/11672]
15066114 downloaded [554/11672]
15259703 downloaded [577/11672]
15187079 downloaded [570/11672]
14512825 downloaded [496/11672]
15173384 downloaded [566/11672]
15248594 downloaded [573/11672]
15335853 downloaded [591/11672]
15259704 downloaded [578/11672]
15458892 downloaded [603/11672]
15169262 downloaded [565/11672]
15286412 downloaded [581/11672]
1498130 downloaded [547/11672]
15103313 downloaded [560/11672]
15552258 downloaded [615/11672]
15452043 downloaded [602/11672]
14989021 downloaded [549/11672]
15240238 downloaded [572/11672]
14729426 downloaded [516/11672]
14983497 downloaded [548/11672]
14756848 downloaded [524/11672]
15270885 downloaded [579/11672]
15595052 downloaded [623/11672]
15248873 downloaded [574/11672]
15381252 downloaded [593/11672]
15310033 downloaded [586/11672]
15394083 downloaded [597/11672]
1533292 downloaded [590/11672]
15175429 downloaded [567/11672]
15520842 downloaded [611/11672]
15397015 downloaded [598/11672]
15684835 downloaded [635/11672]
14936691 downloaded [544/11672]
15449853 downloaded [601/11672]
15308295 downloaded [585/11672]
15341821 downloaded [592/11672]
15582767 downloaded [622/11672]
1527418 downloaded [580/11672]
15180041 downloaded [569/11672]
15419596 downloaded [599/11672]
14824019 downloaded [536/11672]
15177750 downloaded [568/11672]
15658249 downloaded [631/11672]
15754711 downloaded [643/11672]
15381421 downloaded [594/11672]
1557341 downloaded [618/11672]
15502037 downloaded [610/11672]
15327215 downloaded [589/11672]
15543940 downloaded [613/11672]
15561463 downloaded [617/11672]
15893860 downloaded [655/11672]
15083728 downloaded [556/11672]
